Name,Type,Category,Country,lat,lon,test
Farmacia Santa Ana S.R.L.,node,pharmacy,DO,18.2787298,-70.3326611,18.2787298 / -70.3326611
Farmacia 1,node,pharmacy,DO,18.9058937,-70.2785989,18.9058937 / -70.2785989
unknown name,node,pharmacy,DO,18.4284188,-68.9642404,18.4284188 / -68.9642404
Los Hidalgos,node,pharmacy,DO,18.424271,-68.9645097,18.424271 / -68.9645097
Farmacia Walmaría,node,pharmacy,DO,18.4214559,-68.963156,18.4214559 / -68.963156
Farmacón,node,pharmacy,DO,18.4276402,-68.9687219,18.4276402 / -68.9687219
unknown name,node,pharmacy,DO,18.4316828,-68.9728439,18.4316828 / -68.9728439
Farmacia Villa Juana,node,pharmacy,DO,18.4898553,-69.906791,18.4898553 / -69.906791
Farmacia Rosaura,node,pharmacy,DO,18.4232567,-68.9675569,18.4232567 / -68.9675569
Farmacia Dinorah,node,pharmacy,DO,18.4221165,-68.9667146,18.4221165 / -68.9667146
Farmacia Villa España,node,pharmacy,DO,18.4294401,-68.982798,18.4294401 / -68.982798
Farmacia Bancola,node,pharmacy,DO,18.4308633,-68.9662006,18.4308633 / -68.9662006
Farmax,node,pharmacy,DO,18.4779162,-69.9271778,18.4779162 / -69.9271778
FarmaXtra Naco,node,pharmacy,DO,18.4736785,-69.9209223,18.4736785 / -69.9209223
Laboratorio Referencia Don Bosco,node,pharmacy,DO,18.4756183,-69.9044479,18.4756183 / -69.9044479
Laboratorio Amadita,node,pharmacy,DO,18.4709616,-69.9137383,18.4709616 / -69.9137383
Laboratorio Referencia,node,pharmacy,DO,18.4666754,-69.8953786,18.4666754 / -69.8953786
Farmacia Los Hidalgos,node,pharmacy,DO,18.4664223,-69.9292422,18.4664223 / -69.9292422
Laboratorio Amadita,node,pharmacy,DO,18.474684,-69.9360744,18.474684 / -69.9360744
Farmacia Barbara Maria,node,pharmacy,DO,18.4505206,-69.6059018,18.4505206 / -69.6059018
Farmacia Otis,node,pharmacy,DO,18.4831138,-69.9031402,18.4831138 / -69.9031402
Laboratorios Laaned,node,pharmacy,DO,18.4686379,-69.9274177,18.4686379 / -69.9274177
Luis E. Betances,node,pharmacy,DO,18.4685552,-69.9265649,18.4685552 / -69.9265649
FarmaXtra,node,pharmacy,DO,18.4742424,-69.9260499,18.4742424 / -69.9260499
We Care Drug Store,node,pharmacy,DO,19.7495857,-70.4120031,19.7495857 / -70.4120031
Farmacia San Rafael,node,pharmacy,DO,19.7500703,-70.4059641,19.7500703 / -70.4059641
Laboratorio Doctor Collado,node,pharmacy,DO,18.479044,-69.9433526,18.479044 / -69.9433526
unknown name,node,pharmacy,DO,18.4187118,-68.9657462,18.4187118 / -68.9657462
Farmacia Calderon,node,pharmacy,DO,19.2966126,-70.2509499,19.2966126 / -70.2509499
Farmacia Ana,node,pharmacy,DO,18.5096295,-69.8619518,18.5096295 / -69.8619518
Farmacia San Luis,node,pharmacy,DO,19.3667564,-69.8514457,19.3667564 / -69.8514457
Farmacia Candilejas,node,pharmacy,DO,19.0990906,-70.1670527,19.0990906 / -70.1670527
